X,Y,Z,DENS,E,NU
7.91843,-83.4897,-981.273,-276.499,-nan(ind),N/A
0.00025,-73.3212,-966.57,-276.499,-nan(ind),N/A
-16.2247,-87.0228,-974.578,-276.499,-nan(ind),N/A
-12.2432,-62.659,-984.564,610.534,2.50733e+06,N/A
2.5817,-90.8792,-986.753,610.534,2.50733e+06,N/A
-3.5599,-86.1019,-981.86,120.242,455276,N/A
2.721,-76.4356,-984.614,120.242,455276,N/A
-16.3674,-65.5056,-976.5,-276.499,-nan(ind),N/A
6.27423,-85.3627,-989.834,610.534,2.50733e+06,N/A
5.85128,-73.7275,-981.205,120.242,455276,N/A
-7.4096,-59.1564,-967.706,610.534,2.50733e+06,N/A
2.27727,-87.3116,-971.897,-276.499,-nan(ind),N/A
6.52353,-67.1059,-982.6,610.534,2.50733e+06,N/A
-16.9292,-70.7698,-968.152,-276.499,-nan(ind),N/A
-20.1005,-80.9027,-964.52,610.534,2.50733e+06,N/A
-7.22762,-66.9622,-979.263,25.368,88862.2,N/A
3.63517,-87.5802,-988.11,610.534,2.50733e+06,N/A
12.4757,-73.3357,-986.783,610.534,2.50733e+06,N/A
16.0413,-88.2921,-968.457,-276.499,-nan(ind),N/A
-18.3087,-67.689,-969.833,-276.499,-nan(ind),N/A
-9.05387,-84.0776,-971.696,-276.499,-nan(ind),N/A
2.90635,-63.0063,-969.366,-276.499,-nan(ind),N/A
8.65372,-87.5536,-986.279,610.534,2.50733e+06,N/A
-1.67657,-63.5743,-984.257,610.534,2.50733e+06,N/A
-1.50905,-78.3892,-968.261,120.242,455276,N/A
7.97722,-80.5733,-967.096,-276.499,-nan(ind),N/A
16.2954,-68.5534,-975.214,120.242,455276,N/A
8.6528,-67.1718,-988.137,610.534,2.50733e+06,N/A
-2.56022,-65.1283,-990.291,610.534,2.50733e+06,N/A
-2.13788,-71.2542,-970.471,-276.499,-nan(ind),N/A
-24.2947,-75.9036,-983.52,25.368,88862.2,N/A
1.74032,-65.3281,-984.59,610.534,2.50733e+06,N/A
14.1383,-65.4823,-972.04,610.534,2.50733e+06,N/A
14.1021,-73.391,-978.19,-276.499,-nan(ind),N/A
-6.48203,-90.6441,-987.936,120.242,455276,N/A
-4.42868,-71.5274,-987.326,610.534,2.50733e+06,N/A
-2.74677,-99.6744,-990.153,610.534,2.50733e+06,N/A
4.6938,-71.3443,-983.213,-276.499,-nan(ind),N/A
8.83038,-77.207,-969.025,-276.499,-nan(ind),N/A
0.7688,-95.114,-980.69,610.534,2.50733e+06,N/A
-19.1818,-86.2833,-979.801,-276.499,-nan(ind),N/A
10.2468,-73.0662,-969.379,120.242,455276,N/A
-10.2489,-88.8024,-980.095,25.368,88862.2,N/A
-17.0437,-75.9219,-978.443,-276.499,-nan(ind),N/A
-11.5973,-67.9747,-971.088,-276.499,-nan(ind),N/A
9.09645,-93.0635,-993.169,610.534,2.50733e+06,N/A
1.1033,-82.4326,-967.992,-276.499,-nan(ind),N/A
-20.4352,-84.8554,-968.106,610.534,2.50733e+06,N/A
-15.0125,-60.8885,-988.819,610.534,2.50733e+06,N/A
-23.0246,-76.6488,-963.485,610.534,2.50733e+06,N/A
-18.3951,-82.0276,-966.965,120.242,455276,N/A
3.54827,-86.5827,-981.664,25.368,88862.2,N/A
1.29802,-93.1381,-985.245,610.534,2.50733e+06,N/A
-6.48822,-75.8758,-970.517,-276.499,-nan(ind),N/A
19.4131,-78.135,-974.676,25.368,88862.2,N/A
-5.95515,-64.4705,-969.388,56.4218,205701,N/A
-1.07325,-81.1645,-986.623,610.534,2.50733e+06,N/A
-8.5787,-95.6409,-985.885,610.534,2.50733e+06,N/A
4.7603,-89.4919,-982.484,610.534,2.50733e+06,N/A
7.84317,-66.9157,-985.047,610.534,2.50733e+06,N/A
17.3472,-87.3657,-989.669,610.534,2.50733e+06,N/A
-3.78475,-92.9577,-983.873,25.368,88862.2,N/A
-7.09505,-73.5833,-976.778,25.368,88862.2,N/A
20.0473,-68.3087,-971.585,610.534,2.50733e+06,N/A
11.202,-69.0247,-968.583,610.534,2.50733e+06,N/A
-3.42428,-95.1657,-967.585,610.534,2.50733e+06,N/A
-6.12445,-92.5225,-972.828,-276.499,-nan(ind),N/A
-6.1755,-76.0764,-990.012,610.534,2.50733e+06,N/A
14.4403,-85.1711,-971.512,-276.499,-nan(ind),N/A
-22.5878,-82.4715,-986.76,610.534,2.50733e+06,N/A
-6.0102,-86.8521,-978.77,-276.499,-nan(ind),N/A
-7.44198,-76.187,-969.351,25.368,88862.2,N/A
-8.77315,-87.9207,-980.842,-276.499,-nan(ind),N/A
-6.84385,-83.0696,-987.171,120.242,455276,N/A
10.9018,-72.4353,-983.759,610.534,2.50733e+06,N/A
-12.8392,-93.8447,-983.872,610.534,2.50733e+06,N/A
-1.63485,-69.9347,-990.108,610.534,2.50733e+06,N/A
